Date,Total_Assets,Total_Liabilities,EBITDA,Stock,Debt_Equity_Ratio,Total_Assets_Billions,Total_Liabilities_Billions,EBITDA_Billions,Asset_Liability_Ratio,Total_Equity,ROA,Operating_Margin_Ratio
2022-03-31,122845300000.0,38626800000.0,25537400000.0,DABUR.NS,0.1229045613448987,122.8453,38.6268,25.5374,3.180312632679901,84218500000.0,0.20788259705499518,0.18639937157835423
2023-03-31,136543700000.0,42129400000.0,25987800000.0,DABUR.NS,0.1308097614467874,136.5437,42.1294,25.9878,3.2410549402554985,94414300000.0,0.19032588101831135,0.1635241206632646
2024-03-31,151226800000.0,48196000000.0,28681300000.0,DABUR.NS,0.1383588579305312,151.2268,48.196,28.6813,3.1377458710266413,103030800000.0,0.18965752102140626,0.1646401585430998
2021-03-31,28940148000.0,17281518000.0,15399754000.0,COLPAL.NS,0.0782043001621974,28.940148,17.281518,15.399754,1.6746299717420656,11658630000.0,0.5321242310163722,0.27585623118912883
2022-03-31,29018314000.0,11671538000.0,15922087000.0,COLPAL.NS,0.0478784069154983,29.018314,11.671538,15.922087,2.4862459429082953,17346776000.0,0.548690974947752,0.2728688467177133
2023-03-31,28829893000.0,11666050000.0,15893902000.0,COLPAL.NS,0.0401783563273096,28.829893,11.66605,15.893902,2.4712643096849405,17163843000.0,0.5512993752699672,0.2630628110470776
2024-03-31,31965277000.0,13221661000.0,19578320000.0,COLPAL.NS,0.0382793266784808,31.965277,13.221661,19.57832,2.4176445758214493,18743616000.0,0.6124871059306009,0.304734632175135
2021-03-31,13212120000000.0,5217800000000.0,999400000000.0,RELIANCE.NS,0.3715158561039287,13212.12,5217.8,999.4,2.5321246502357315,7994320000000.0,0.07564266749015298,0.11600388928390917
2022-03-31,14996650000000.0,6106810000000.0,1263740000000.0,RELIANCE.NS,0.3617439719815006,14996.65,6106.81,1263.74,2.455725657094293,8889840000000.0,0.084268153220886,0.11317124617256953
2023-03-31,16074310000000.0,7785500000000.0,1533070000000.0,RELIANCE.NS,0.4671114389164543,16074.31,7785.5,1533.07,2.0646471003789095,8288810000000.0,0.09537392273758563,0.1162120444047002
2024-03-31,17559860000000.0,8301980000000.0,1773310000000.0,RELIANCE.NS,0.4362322475270359,17559.86,8301.98,1773.31,2.115141207278264,9257880000000.0,0.10098656823004283,0.12392682428773096
2021-03-31,5432787530000.0,3006819650000.0,602995540000.0,ONGC.NS,0.6363390562977342,5432.78753,3006.81965,602.99554,1.8068218790574953,2425967880000.0,0.11099192388258187,0.10874930250271009
2022-03-31,5853902880000.0,3012036060000.0,847865240000.0,ONGC.NS,0.4685244989654759,5853.90288,3012.03606,847.86524,1.9435035847479196,2841866820000.0,0.14483759935559437,0.12475328533008581
2023-03-31,6180083380000.0,3146256070000.0,776688670000.0,ONGC.NS,0.5294580045465972,6180.08338,3146.25607,776.68867,1.96426585837306,3033827310000.0,0.12567608270683234,0.10693049451479532
2024-03-31,7101929680000.0,3451024210000.0,1159123620000.0,ONGC.NS,0.4763853765108717,7101.92968,3451.02421,1159.12362,2.057919402425751,3650905470000.0,0.16321248903157262,0.13916393100592464
2021-03-31,1609815500000.0,1074264800000.0,287128600000.0,BPCL.NS,1.0182389827891178,1609.8155,1074.2648,287.1286,1.4985276442083926,535550700000.0,0.17836118486870078,0.07448485543932606
2022-03-31,1875286300000.0,1356230100000.0,238024000000.0,BPCL.NS,1.2432988951870725,1875.2863,1356.2301,238.024,1.3827198644241858,519056200000.0,0.12692675246441038,0.04276186274477748
2023-03-31,1881381900000.0,1346158300000.0,131202400000.0,BPCL.NS,1.2962064826737834,1881.3819,1346.1583,131.2024,1.3975933588196872,535223600000.0,0.06973725005008287,0.01592117303878265
