Date,Total_Assets,Total_Liabilities,EBITDA,Operating_Margin_%,Date_x,Stock,Debt_Equity_Ratio,Date_y
2023-03-31,2880217400000.0,1828465300000.0,338752300000.0,8.11852112421046,2023-03-31,TATASTEEL.NS,0.8235479292719105,2023-03-31
2024-03-31,2734235000000.0,1809907600000.0,162488900000.0,4.604731623317944,2024-03-31,TATASTEEL.NS,0.9461770077196081,2024-03-31
2020-03-31,,,,,2020-03-31,COALINDIA.NS,,2020-03-31
2021-03-31,1617815700000.0,1248231300000.0,221646200000.0,17.992622740647988,2021-03-31,COALINDIA.NS,0.16113514229944334,2021-03-31
2022-03-31,1934846000000.0,1496677700000.0,285864400000.0,23.922787573945257,2022-03-31,COALINDIA.NS,0.0814416415718503,2022-03-31
2023-03-31,2224306600000.0,1608170400000.0,506536300000.0,29.566528129422316,2023-03-31,COALINDIA.NS,0.07119019416060338,2023-03-31
2024-03-31,2376722600000.0,1540903600000.0,561278500000.0,31.84259626976701,2024-03-31,COALINDIA.NS,0.0788474235033624,2024-03-31
2020-03-31,,,,,2020-03-31,VEDL.NS,,2020-03-31
2021-03-31,1771247000000.0,1037198000000.0,296853000000.0,21.511115204402333,2021-03-31,VEDL.NS,0.9846663599026337,2021-03-31
2022-03-31,1983820000000.0,1156780000000.0,463810000000.0,27.448320019513382,2022-03-31,VEDL.NS,0.8186990502118288,2022-03-31
2023-03-31,1953770000000.0,1459500000000.0,367190000000.0,16.701741355120905,2023-03-31,VEDL.NS,1.6893691499885855,2023-03-31
2024-03-31,1908070000000.0,1487380000000.0,395400000000.0,17.51003223008188,2024-03-31,VEDL.NS,2.3683028448668706,2024-03-31
2020-03-31,,,,,2020-03-31,HINDZINC.NS,,2020-03-31
2021-03-31,457270000000.0,134140000000.0,134560000000.0,41.96003805899144,2021-03-31,HINDZINC.NS,0.22285148392287935,2021-03-31
2022-03-31,446700000000.0,103890000000.0,172820000000.0,46.79055227509552,2022-03-31,HINDZINC.NS,0.09112919693124472,2022-03-31
2023-03-31,354670000000.0,225350000000.0,188370000000.0,43.351767251743205,2023-03-31,HINDZINC.NS,0.9424682957005877,2023-03-31
2024-03-31,338950000000.0,187000000000.0,146600000000.0,36.98810626023787,2024-03-31,HINDZINC.NS,0.6002632444883185,2024-03-31
2021-03-31,369297900000.0,70322000000.0,91408700000.0,55.70573940878527,2021-03-31,NMDC.NS,0.07795529722376987,2021-03-31
2022-03-31,261484900000.0,81167900000.0,133429900000.0,47.52516773676968,2022-03-31,NMDC.NS,0.16850082555187101,2022-03-31
2023-03-31,299529200000.0,73178600000.0,80589100000.0,32.390451330891054,2023-03-31,NMDC.NS,0.09406684016457398,2023-03-31
2024-03-31,356610300000.0,99881200000.0,83903200000.0,32.58572392298473,2024-03-31,NMDC.NS,0.13091647535264792,2024-03-31
2020-03-31,,,,,2020-03-31,SUNPHARMA.NS,,2020-03-31
2021-03-31,676667300000.0,181869000000.0,50204100000.0,19.300768992822814,2021-03-31,SUNPHARMA.NS,0.08326191416010838,2021-03-31
2022-03-31,697998700000.0,187337600000.0,67524100000.0,21.07929908640982,2022-03-31,SUNPHARMA.NS,0.026874967976235554,2022-03-31
2023-03-31,807435900000.0,214281200000.0,121108600000.0,21.43623435639609,2023-03-31,SUNPHARMA.NS,0.12297210948474678,2023-03-31
2024-03-31,854628800000.0,183569100000.0,138831500000.0,21.919011190689815,2024-03-31,SUNPHARMA.NS,0.05141883322142248,2024-03-31
2020-03-31,,,,,2020-03-31,DRREDDY.NS,,2020-03-31
2021-03-31,265491000000.0,92429000000.0,40179000000.0,17.346433202264365,2021-03-31,DRREDDY.NS,0.17512798881325767,2021-03-31
2022-03-31,292827000000.0,102300000000.0,45080000000.0,16.753968216949406,2022-03-31,DRREDDY.NS,0.17763886483280586,2022-03-31
2023-03-31,321854000000.0,90863000000.0,74431000000.0,24.017504544918435,2023-03-31,DRREDDY.NS,0.05832261863016308,2023-03-31
2024-03-31,387518000000.0,106968000000.0,88422000000.0,23.394133914115002,2024-03-31,DRREDDY.NS,0.07135982890750311,2024-03-31
2020-03-31,,,,,2020-03-31,CIPLA.NS,,2020-03-31
2021-03-31,251518900000.0,65663000000.0,44461600000.0,17.119501677855883,2021-03-31,CIPLA.NS,0.10991769854958904,2021-03-31
2022-03-31,271011200000.0,59837400000.0,45882000000.0,16.511911192340136,2022-03-31,CIPLA.NS,0.05065712041585879,2022-03-31
